"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 30, 2017","373.00","359.50","375.68","357.00","2.93K","3.76%"
"Aug 29, 2017","359.50","356.90","370.00","351.42","2.81K","0.73%"
"Aug 28, 2017","356.90","362.01","370.00","346.69","3.54K","-1.41%"
"Aug 27, 2017","362.01","397.00","399.16","354.00","6.79K","-8.81%"
"Aug 26, 2017","397.00","315.00","412.85","313.54","12.59K","26.03%"
"Aug 25, 2017","315.00","314.26","320.00","306.18","4.62K","0.24%"
"Aug 24, 2017","314.26","291.00","314.30","290.46","3.46K","7.99%"
"Aug 23, 2017","291.00","290.10","298.02","286.00","3.78K","0.31%"
"Aug 22, 2017","290.10","281.26","299.80","260.00","7.16K","3.14%"
"Aug 21, 2017","281.26","291.62","300.00","275.23","5.10K","-3.55%"
"Aug 20, 2017","291.62","285.00","318.73","281.63","9.77K","2.32%"
"Aug 19, 2017","285.00","222.09","317.69","221.42","33.93K","28.33%"
"Aug 18, 2017","222.09","234.50","240.08","217.00","5.78K","-5.29%"
"Aug 17, 2017","234.50","231.56","264.55","228.00","17.96K","1.27%"
"Aug 16, 2017","231.56","202.73","234.97","197.80","12.59K","14.22%"
"Aug 15, 2017","202.73","198.13","204.56","189.35","6.52K","2.32%"
"Aug 14, 2017","198.13","197.00","204.42","192.48","5.65K","0.57%"
"Aug 13, 2017","197.00","205.53","208.00","191.70","8.49K","-4.15%"
"Aug 12, 2017","205.53","206.02","210.90","200.00","3.93K","-0.24%"
"Aug 11, 2017","206.02","200.00","208.20","197.50","3.24K","3.01%"
"Aug 10, 2017","200.00","198.80","206.00","194.10","3.20K","0.60%"
"Aug 09, 2017","198.80","203.40","206.19","192.01","4.81K","-2.26%"
"Aug 08, 2017","203.40","196.00","205.95","193.70","5.20K","3.78%"
"Aug 07, 2017","196.00","189.92","199.00","187.10","5.41K","3.20%"
"Aug 06, 2017","189.92","193.15","194.40","188.00","5.43K","-1.67%"
"Aug 05, 2017","193.15","186.50","197.20","184.25","9.38K","3.57%"
"Aug 04, 2017","186.50","186.70","191.69","185.04","2.80K","-0.11%"
"Aug 03, 2017","186.70","181.90","191.58","178.12","5.82K","2.64%"
"Aug 02, 2017","181.90","184.50","186.00","181.00","4.74K","-1.41%"
"Aug 01, 2017","184.50","176.81","186.00","174.11","12.64K","4.35%"
"Jul 31, 2017","176.81","171.69","178.61","170.00","7.15K","2.98%"
"Jul 30, 2017","171.69","186.78","188.40","169.45","5.99K","-8.08%"
"Jul 29, 2017","186.78","185.40","186.78","169.00","9.26K","0.74%"
"Jul 28, 2017","185.40","194.88","197.00","178.70","6.23K","-4.86%"
"Jul 27, 2017","194.88","195.00","199.59","190.86","5.04K","-0.06%"
"Jul 26, 2017","195.00","193.68","201.07","184.52","10.44K","0.68%"
"Jul 25, 2017","193.68","205.55","214.01","182.35","19.95K","-5.77%"
"Jul 24, 2017","205.55","191.81","218.01","190.21","18.68K","7.16%"
"Jul 23, 2017","191.81","198.50","199.32","184.21","4.36K","-3.37%"
"Jul 22, 2017","198.50","186.96","198.50","180.75","6.31K","6.17%"
"Jul 21, 2017","186.96","190.70","198.46","180.96","7.35K","-1.96%"
"Jul 20, 2017","190.70","155.40","197.53","154.00","29.81K","22.72%"
"Jul 19, 2017","155.40","157.29","171.10","151.07","7.89K","-1.20%"
"Jul 18, 2017","157.29","152.56","167.00","144.50","10.52K","3.10%"
"Jul 17, 2017","152.56","130.89","153.36","130.89","11.25K","16.56%"
"Jul 16, 2017","130.89","139.02","144.10","120.00","17.05K","-5.85%"
"Jul 15, 2017","139.02","161.00","161.30","137.50","9.92K","-13.65%"
"Jul 14, 2017","161.00","169.19","172.27","153.40","6.22K","-4.84%"
"Jul 13, 2017","169.19","177.61","180.56","163.00","6.70K","-4.74%"
"Jul 12, 2017","177.61","162.71","179.13","151.00","9.54K","9.16%"
"Jul 11, 2017","162.71","171.10","178.00","148.72","15.07K","-4.90%"
"Jul 10, 2017","171.10","194.20","198.33","164.20","8.76K","-11.89%"
"Jul 09, 2017","194.20","209.00","211.00","194.20","6.49K","-7.08%"
"Jul 08, 2017","209.00","190.10","210.60","181.00","10.47K","9.94%"
"Jul 07, 2017","190.10","208.40","210.73","185.60","10.59K","-8.78%"
"Jul 06, 2017","208.40","209.00","224.56","201.21","15.38K","-0.29%"
"Jul 05, 2017","209.00","181.46","212.90","178.62","14.59K","15.18%"
"Jul 04, 2017","181.46","178.57","187.10","177.19","2.66K","1.62%"
"Jul 03, 2017","178.57","168.90","184.70","167.00","6.74K","5.73%"
"Jul 02, 2017","168.90","159.05","171.00","156.47","4.46K","6.19%"
"Jul 01, 2017","159.05","174.54","177.95","156.99","2.75K","-8.87%"
"Jun 30, 2017","174.54","174.47","180.70","170.04","4.85K","0.04%"
"Jun 29, 2017","174.47","179.55","180.63","168.39","4.16K","-2.83%"
"Jun 28, 2017","179.55","173.48","183.09","166.00","6.30K","3.50%"
"Jun 27, 2017","173.48","161.40","173.48","143.00","5.79K","7.48%"
"Jun 26, 2017","161.40","165.04","167.56","136.24","6.78K","-2.21%"
"Jun 25, 2017","165.04","173.90","177.00","157.11","3.35K","-5.09%"
"Jun 24, 2017","173.90","185.00","186.00","170.00","2.94K","-6.00%"
"Jun 23, 2017","185.00","180.51","190.00","179.27","1.49K","2.49%"
"Jun 22, 2017","180.51","178.13","187.00","170.10","2.17K","1.34%"
"Jun 21, 2017","178.13","186.39","194.00","168.30","4.06K","-4.43%"
"Jun 20, 2017","186.39","195.70","199.30","168.00","5.65K","-4.76%"
"Jun 19, 2017","195.70","187.99","199.82","186.97","10.95K","4.10%"
"Jun 18, 2017","187.99","177.00","188.01","167.36","6.16K","6.21%"
"Jun 17, 2017","177.00","159.80","190.00","153.00","12.27K","10.76%"
"Jun 16, 2017","159.80","156.76","161.50","148.00","6.56K","1.94%"
"Jun 15, 2017","156.76","156.20","162.00","130.00","9.70K","0.36%"
"Jun 14, 2017","156.20","180.00","192.55","146.11","14.05K","-13.22%"
"Jun 13, 2017","180.00","166.00","196.86","163.50","7.95K","8.43%"
"Jun 12, 2017","166.00","185.50","195.00","147.77","12.30K","-10.51%"
"Jun 11, 2017","185.50","147.61","200.00","146.79","25.76K","25.67%"
"Jun 10, 2017","147.61","148.59","152.17","144.25","2.90K","-0.66%"
"Jun 09, 2017","148.59","144.26","149.73","143.04","7.51K","3.00%"
"Jun 08, 2017","144.26","136.77","145.39","134.71","2.88K","5.48%"
"Jun 07, 2017","136.77","145.00","152.66","132.16","7.47K","-5.68%"
"Jun 06, 2017","145.00","142.70","146.57","115.11","16.78K","1.61%"
"Jun 05, 2017","142.70","141.75","144.33","137.90","3.51K","1.92%"
"Jun 04, 2017","140.01","140.01","140.01","140.01","-","0.00%"
"Jun 03, 2017","140.01","141.00","145.25","137.55","2.33K","-0.70%"
"Jun 02, 2017","141.00","131.34","142.22","130.00","3.38K","7.35%"
"Jun 01, 2017","131.34","130.36","145.00","124.40","7.45K","0.75%"
"May 31, 2017","130.36","118.09","139.33","110.02","10.92K","10.39%"
"May 30, 2017","118.09","113.80","124.58","111.50","7.61K","3.77%"
"May 29, 2017","113.80","102.76","117.41","98.75","9.21K","10.74%"
"May 28, 2017","102.76","97.00","113.00","90.10","7.34K","5.94%"
"May 27, 2017","97.00","108.50","115.00","72.34","14.49K","-10.60%"
"May 26, 2017","108.50","115.40","135.55","104.70","8.91K","-5.98%"
"May 25, 2017","115.40","140.27","143.68","111.00","11.90K","-17.73%"
"May 24, 2017","140.27","133.20","150.74","132.97","11.21K","5.31%"
"May 23, 2017","133.20","116.00","138.12","112.00","7.12K","14.83%"
"May 22, 2017","116.00","100.05","146.67","94.06","19.78K","15.94%"
