"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 16, 2017","2,470.30","2,428.72","2,526.27","2,333.29","8.20K","1.71%"
"Jun 15, 2017","2,428.72","2,455.01","2,510.76","2,138.00","0.00K","-0.98%"
"Jun 14, 2017","2,452.69","2,710.00","2,794.95","2,319.00","0.00K","-9.49%"
"Jun 13, 2017","2,710.00","2,605.00","2,777.77","2,601.00","-","3.85%"
"Jun 12, 2017","2,609.44","2,929.30","2,948.00","2,469.23","-","-10.57%"
"Jun 11, 2017","2,917.98","2,816.21","2,917.99","2,781.89","4.56K","3.61%"
"Jun 10, 2017","2,816.27","2,816.46","2,905.00","2,790.23","6.12K","-0.01%"
"Jun 09, 2017","2,816.47","2,807.09","2,865.34","2,793.11","3.81K","0.23%"
"Jun 08, 2017","2,810.00","2,658.69","2,818.05","2,641.00","5.22K","3.27%"
"Jun 07, 2017","2,721.10","2,871.13","2,885.00","2,645.00","7.69K","-5.25%"
"Jun 06, 2017","2,872.00","2,691.94","2,925.51","2,691.94","11.72K","6.49%"
"Jun 05, 2017","2,697.00","2,520.55","2,697.00","2,515.00","0.00K","7.00%"
"Jun 04, 2017","2,520.55","2,540.25","2,570.00","2,481.10","5.77K","-1.14%"
"Jun 03, 2017","2,549.69","2,487.19","2,587.00","2,450.41","-","2.51%"
"Jun 02, 2017","2,487.18","2,387.21","2,496.84","2,372.65","-","3.81%"
"Jun 01, 2017","2,395.90","2,291.30","2,456.11","2,291.30","10.54K","4.57%"
"May 31, 2017","2,291.30","2,202.62","2,332.14","2,142.04","8.84K","6.59%"
"May 30, 2017","2,149.69","2,214.33","2,314.70","2,137.97","7.77K","-4.57%"
"May 29, 2017","2,252.63","2,137.25","2,325.04","2,061.00","4.44K","5.40%"
"May 28, 2017","2,137.21","2,007.84","2,270.00","1,995.02","7.02K","6.43%"
"May 27, 2017","2,008.00","2,203.71","2,289.48","1,840.00","12.53K","-8.88%"
"May 26, 2017","2,203.71","2,329.00","2,573.69","2,108.00","10.87K","-3.40%"
"May 25, 2017","2,281.38","2,408.24","2,693.40","2,270.04","13.71K","-5.27%"
"May 24, 2017","2,408.21","2,234.00","2,450.00","2,231.97","9.41K","7.80%"
"May 23, 2017","2,233.98","2,085.99","2,234.98","2,079.25","-","7.09%"
"May 22, 2017","2,085.99","2,007.23","2,190.00","1,977.20","9.80K","3.72%"
"May 21, 2017","2,011.11","2,039.11","2,083.02","1,999.43","5.94K","-1.51%"
"May 20, 2017","2,042.00","1,972.99","2,046.48","1,958.00","6.00K","3.82%"
"May 19, 2017","1,966.82","1,900.00","1,969.48","1,853.49","7.54K","3.52%"
"May 18, 2017","1,900.00","1,836.06","2,189.00","1,821.07","6.60K","3.48%"
"May 17, 2017","1,836.06","1,786.84","1,880.00","1,775.00","7.59K","2.75%"
"May 16, 2017","1,786.85","1,739.75","1,791.26","1,706.55","6.12K","2.71%"
"May 15, 2017","1,739.75","1,788.04","1,795.16","1,699.21","4.58K","-2.70%"
"May 14, 2017","1,788.04","1,783.57","1,818.00","1,752.85","2.49K","0.25%"
"May 13, 2017","1,783.57","1,698.19","1,795.63","1,609.46","5.21K","5.03%"
"May 12, 2017","1,698.19","1,836.06","1,837.98","1,647.35","5.58K","-7.51%"
"May 11, 2017","1,836.06","1,782.00","1,886.62","1,753.35","7.05K","3.03%"
"May 10, 2017","1,782.00","1,721.97","1,794.00","1,685.00","-","3.82%"
"May 09, 2017","1,716.37","1,669.37","1,768.23","1,642.28","7.84K","2.77%"
"May 08, 2017","1,670.06","1,521.00","1,677.40","1,486.00","-","13.22%"
"May 07, 2017","1,475.00","1,540.67","1,560.00","1,358.00","4.48K","-4.28%"
"May 06, 2017","1,541.00","1,518.03","1,573.00","1,513.70","3.42K","1.51%"
