date,open,high,low,close,volume,dividend,split
2018-08-08,10.819999694824219,10.819999694824219,10.819999694824219,10.819999694824219,0,0,1
2018-08-09,10.819999694824219,10.819999694824219,10.819999694824219,10.819999694824219,0,0,1
2018-08-10,10.789999961853027,10.789999961853027,10.789999961853027,10.789999961853027,0,0,1
2018-08-13,10.760000228881836,10.760000228881836,10.760000228881836,10.760000228881836,0,0,1
2018-08-14,10.770000457763672,10.770000457763672,10.770000457763672,10.770000457763672,0,0,1
2018-08-15,10.739999771118164,10.739999771118164,10.739999771118164,10.739999771118164,0,0,1
2018-08-16,10.760000228881836,10.760000228881836,10.760000228881836,10.760000228881836,0,0,1
2018-08-17,10.779999732971191,10.779999732971191,10.779999732971191,10.779999732971191,0,0,1
2018-08-20,10.800000190734863,10.800000190734863,10.800000190734863,10.800000190734863,0,0,1
2018-08-21,10.800000190734863,10.800000190734863,10.800000190734863,10.800000190734863,0,0,1
2018-08-22,10.8100004196167,10.8100004196167,10.8100004196167,10.8100004196167,0,0,1
2018-08-23,10.800000190734863,10.800000190734863,10.800000190734863,10.800000190734863,0,0,1
2018-08-24,10.8100004196167,10.8100004196167,10.8100004196167,10.8100004196167,0,0,1
2018-08-27,10.819999694824219,10.819999694824219,10.819999694824219,10.819999694824219,0,0,1
2018-08-28,10.819999694824219,10.819999694824219,10.819999694824219,10.819999694824219,0,0,1
2018-08-29,10.819999694824219,10.819999694824219,10.819999694824219,10.819999694824219,0,0,1
2018-08-30,10.800000190734863,10.800000190734863,10.800000190734863,10.800000190734863,0,0,1
2018-08-31,10.789999961853027,10.789999961853027,10.789999961853027,10.789999961853027,0,0,1
2018-09-04,10.770000457763672,10.770000457763672,10.770000457763672,10.770000457763672,0,0,1
2018-09-05,10.760000228881836,10.760000228881836,10.760000228881836,10.760000228881836,0,0,1
2018-09-06,10.75,10.75,10.75,10.75,0,0,1
2018-09-07,10.729999542236328,10.729999542236328,10.729999542236328,10.729999542236328,0,0,1
2018-09-10,10.739999771118164,10.739999771118164,10.739999771118164,10.739999771118164,0,0,1
2018-09-11,10.739999771118164,10.739999771118164,10.739999771118164,10.739999771118164,0,0,1
2018-09-12,10.75,10.75,10.75,10.75,0,0,1
2018-09-13,10.760000228881836,10.760000228881836,10.760000228881836,10.760000228881836,0,0,1
2018-09-14,10.760000228881836,10.760000228881836,10.760000228881836,10.760000228881836,0,0,1
2018-09-17,10.75,10.75,10.75,10.75,0,0,1
2018-09-18,10.760000228881836,10.760000228881836,10.760000228881836,10.760000228881836,0,0,1
2018-09-19,10.760000228881836,10.760000228881836,10.760000228881836,10.760000228881836,0,0,1
2018-09-20,10.779999732971191,10.779999732971191,10.779999732971191,10.779999732971191,0,0,1
2018-09-21,10.779999732971191,10.779999732971191,10.779999732971191,10.779999732971191,0,0,1
2018-09-24,10.760000228881836,10.760000228881836,10.760000228881836,10.760000228881836,0,0,1
2018-09-25,10.760000228881836,10.760000228881836,10.760000228881836,10.760000228881836,0,0,1
2018-09-26,10.75,10.75,10.75,10.75,0,0,1
2018-09-27,10.770000457763672,10.770000457763672,10.770000457763672,10.770000457763672,0,0,1
2018-09-28,10.760000228881836,10.760000228881836,10.760000228881836,10.760000228881836,0,0,1
2018-10-01,10.770000457763672,10.770000457763672,10.770000457763672,10.770000457763672,0,0,1
2018-10-02,10.760000228881836,10.760000228881836,10.760000228881836,10.760000228881836,0,0,1
2018-10-03,10.760000228881836,10.760000228881836,10.760000228881836,10.760000228881836,0,0,1
2018-10-04,10.710000038146973,10.710000038146973,10.710000038146973,10.710000038146973,0,0,1
2018-10-05,10.6899995803833,10.6899995803833,10.6899995803833,10.6899995803833,0,0,1
2018-10-08,10.6899995803833,10.6899995803833,10.6899995803833,10.6899995803833,0,0,1
2018-10-09,10.680000305175781,10.680000305175781,10.680000305175781,10.680000305175781,0,0,1
